species,Family_name,Subfamily,Genus_name,Species_name,male_wing,winged,wingless,MonoHeteroecious,MonoPolyphagous,AntTended,PlantType,herbacious,woody
Adelgidae_Adelges_abietis,Adelgidae,,Adelges,abietis,NA,NA,NA,0,0,NA,NA,NA,NA
Adelgidae_Adelges_japonicus,Adelgidae,,Adelges,japonicus,NA,NA,NA,0,0,NA,NA,NA,NA
Adelgidae_Adelges_tardus,Adelgidae,,Adelges,tardus,NA,NA,NA,0,0,NA,NA,NA,NA
Adelgidae_Pineus_coloradensis,Adelgidae,,Pineus,coloradensis,NA,NA,NA,0,0,NA,NA,NA,NA
Adelgidae_Pineus_pineoides,Adelgidae,,Pineus,pineoides,NA,NA,NA,0,0,NA,NA,NA,NA
Adelgidae_Pineus_pini,Adelgidae,,Pineus,pini,NA,NA,NA,0,0,NA,NA,NA,NA
Adelgidae_Pineus_similis,Adelgidae,,Pineus,similis,NA,NA,NA,0,0,NA,NA,NA,NA
Adelgidae_Pineus_strobi,Adelgidae,,Pineus,strobi,NA,NA,NA,0,0,NA,NA,NA,NA
Aphididae_Acuticauda_solidaginifoliae,Aphididae,,Acuticauda,solidaginifoliae,2,0,1,0,0,0,0,1,0
Aphididae_Acyrthosiphon_caraganae,Aphididae,,Acyrthosiphon,caraganae,2,0,1,0,0,NA,2,0,1
Aphididae_Acyrthosiphon_chelidonii,Aphididae,,Acyrthosiphon,chelidonii,0,1,0,0,0,NA,0,1,0
Aphididae_Acyrthosiphon_kondoi,Aphididae,,Acyrthosiphon,kondoi,0,1,0,0,0,NA,NA,NA,NA
Aphididae_Acyrthosiphon_lactucae,Aphididae,,Acyrthosiphon,lactucae,0,1,0,0,0,NA,0,1,0
Aphididae_Acyrthosiphon_macrosiphum,Aphididae,,Acyrthosiphon,macrosiphum,0,1,0,0,0,NA,NA,NA,NA
Aphididae_Acyrthosiphon_malvae,Aphididae,,Acyrthosiphon,malvae,1,1,1,0,1,NA,0,1,0
Aphididae_Acyrthosiphon_pisum,Aphididae,,Acyrthosiphon,pisum,1,1,1,0,1,NA,1,1,1
Aphididae_Aleurosiphon_smilacifoliae,Aphididae,,Aleurosiphon,smilacifoliae,0,1,0,0,0,NA,NA,NA,NA
Aphididae_Amphicercidus_japonicus,Aphididae,,Amphicercidus,japonicus,0,1,0,0,0,NA,NA,NA,NA
Aphididae_Amphorophora_agathonica,Aphididae,,Amphorophora,agathonica,0,1,0,0,0,NA,1,1,1
